precentral gyrus,prerolandic gyrus,precentral convolution,motor cortex (Noback),gyrus praecentralis,gyrus centralis anterior,anterior central gyrus,,,,,,,,,,,,,,,,,,,,,,
inferior frontal gyrus,inferior frontal convolution,gyrus frontalis inferior,gyrus F3,gyrus frontalis tertius,regio subfrontalis,,,,,,,,,,,,,,,,,,,,,,,
superior frontal gyrus,marginal gyrus,superior frontal convolution,gyrus frontalis superior,gyrus F1,gyrus frontalis primus,,,,,,,,,,,,,,,,,,,,,,,
raphe nuclei,raphe nuclei set,nuclei raphes,Raphe of mesenchephalon,,raphe cluster,set of raphe nuclei,raphe nucleus,,,,,,,,,,,,,,,,,,,,,
medulla oblongata,medulla,bulbus,metepencephalon,medulla oblonzata,,,,,,,,,,,,,,,,,,,,,,,,
medullary raphe nuclear complex,raphe medullae oblongatae,raphe of medulla oblongata,raphe nuclei of medulla,raphe nuclei of the medulla,nuclei raphe (myelencephali),,,,,,,,,,,,,,,,,,,,,,,
cerebral peduncle,peduncle of midbrain,pedunculus cerebri,pedunculus cerebralis,cerebral peduncle (archaic),,pedunculi cerebri,cerebal peduncle,,,,,,,,,,,,,,,,,,,,,
midbrain tegmentum,tegmentum,tegmentum of midbrain,tegmentum mesencephali,mesencephalic tegmentum,tegmentum mesencephalicum,,,,,,,,,,,,,,,,,,,,,,,
midbrain reticular formation,,reticular formation of midbrain,tegmental reticular formation,formatio reticularis tegmenti mesencephali,substantia reticularis mesencephali,formatio reticularis tegmentalis,formatio reticularis mesencephali,,,,,,,,,,,,,,,,,,,,,
pons,pons of Varolius,pons Varolii,pons cerebri,,,,,,,,,,,,,,,,,,,,,,,,,
pontine tegmentum,dorsal pons,tegmentum pontis,tegmental portion of pons,tegmentum of pons,dorsal portion of pons,pars posterior pontis,pars dorsalis pontis,,,,,,,,,,,,,,,,,,,,,
pontine reticular formation,pontine reticular nucleus,pons of varolius reticular formation,reticular formation of pons of varolius,pons reticular formation,reticular formation of pons,pontine reticular nucleus rostral part,,formatio reticularis pontis,,,,,,,,,,,,,,,,,,,,
brainstem,brain stem,truncus encephali,accessory medullary lamina of pallidum,lamina medullaris incompleta pallidi,lamella pallidi incompleta,truncus encephalicus,lamina pallidi incompleta,lamina medullaris accessoria,,,,,,,,,,,,,,,,,,,,
dorsolateral prefrontal cortex,dorsolateral pre frontal cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,
supplemental motor cortex,supplementary motor area,supplementary motor cortex,juxtapositional lobule cortex,supplementary motor area (M II),,,,,,,,,,,,,,,,,,,,,,,,
corpus callosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cerebrospinal fluid,cerebral spinal fluid,spinal fluid,liquor cerebrospinalis,,,,,,,,,,,,,,,,,,,,,,,,,
globus pallidus,pale body,paleostriatum,nucleus pallidus,pallidium,globus pallidus (Burdach),pallidum,,,,,,,,,,,,,,,,,,,,,,
ventral striatum,striatum ventral region,striatum ventrale,,,,,,,,,,,,,,,,,,,,,,,,,,
middle frontal gyrus,gyrus frontalis medialis,intermediate frontal gyrus,medial frontal gyrus,middle (medial) frontal gyrus,gyrus frontalis secundus,gyrus frontalis medius,medial frontal gyrus (Mai),gyrus frontalis medialis (Winters),,,,,,,,,,,,,,,,,,,,
angular gyrus,middle part of inferior parietal lobule,preoccipital gyrus,gyrus parietalis inferior,prelunate gyrus,gyrus angularis,,,,,,,,,,,,,,,,,,,,,,,
hypothalamus,preoptico hypothalamic region,preoptico hypothalamic area,,,,,,,,,,,,,,,,,,,,,,,,,,
transverse gyrus of Heschl,Heshl's gyrus,transverse temporal gyrus,gyri temporales transversi,transverse temporal cortex,transverse temporal gyri,,,,,,,,,,,,,,,,,,,,,,,
temporal pole,polus temporalis,"temporal pole, cerebral cortex",temporopolar cortex,,,,,,,,,,,,,,,,,,,,,,,,,
gyrus rectus,medial part of gyri orbitales,rectus gyrus,straight gyrus,rectal gyrus,ventromedial gyrus,,,,,,,,,,,,,,,,,,,,,,,
sulcus of brain,sulcus,cerebral sulci,fissure of brain,cerebral sulcus,,,,,,,,,,,,,,,,,,,,,,,,
calcarine sulcus,sulcus calcarinus,calcarine fissure,fissura calcarina,,,,,,,,,,,,,,,,,,,,,,,,,
superior parietal cortex,,superior parietal gyrus,superior parietal lobule,superior portion of parietal gyrus,lobulus parietalis superior,gyrus parietalis superior,,,,,,,,,,,,,,,,,,,,,,
uncus of parahippocampal gyrus,uncus hippocampi,pyriform area (Crosby),uncus,,,,,,,,,,,,,,,,,,,,,,,,,
postcentral gyrus,postrolandic gyrus,gyrus postcentralis,posterior central gyrus,postcentral convolution,gyrus centralis posterior,post central gyrus,,,,,,,,,,,,,,,,,,,,,,
precuneus cortex,precuneate lobule,precuneus,quadrate lobule,medial area of the superior parietal cortex,praecuneus,,,,,,,,,,,,,,,,,,,,,,,
claustrum of brain,claustrum,dorsal portion of claustrum,dorsal claustrum,claustrum (Burdach),,,,,,,,,,,,,,,,,,,,,,,,
